iteration,size,popSize,mutProb,iter,popTop,attack,time,
80,25,300,0.1,5000,0.2,0,5489,
81,25,300,0.1,5000,0.2,1,6508,
82,25,300,0.1,5000,0.2,1,6098,
83,25,300,0.1,5000,0.2,0,5066,
84,25,300,0.1,5000,0.2,1,6947,
85,25,300,0.1,5000,0.2,0,1783,
86,25,300,0.1,5000,0.2,0,2188,
87,25,300,0.1,5000,0.2,1,6411,
88,25,300,0.1,5000,0.2,1,6199,
89,25,300,0.1,5000,0.2,0,2225,
90,25,300,0.1,5000,0.2,1,6054,
91,25,300,0.1,5000,0.2,1,6137,
92,25,300,0.1,5000,0.2,0,1801,
93,25,300,0.1,5000,0.2,1,6378,
94,25,300,0.1,5000,0.2,0,4153,
95,25,300,0.1,5000,0.2,0,2274,
96,25,300,0.1,5000,0.2,0,925,
97,25,300,0.1,5000,0.2,1,6143,
98,25,300,0.1,5000,0.2,0,1249,
99,25,300,0.1,5000,0.2,1,6386,
100,25,300,0.1,5000,0.2,1,6483,
1,25,300,0.1,5000,0.3,0,6322,
2,25,300,0.1,5000,0.3,1,6200,
3,25,300,0.1,5000,0.3,1,6442,
4,25,300,0.1,5000,0.3,1,6183,
5,25,300,0.1,5000,0.3,0,692,
6,25,300,0.1,5000,0.3,0,624,
7,25,300,0.1,5000,0.3,0,5417,
8,25,300,0.1,5000,0.3,0,590,
9,25,300,0.1,5000,0.3,0,2761,
10,25,300,0.1,5000,0.3,1,6194,
11,25,300,0.1,5000,0.3,0,2702,
12,25,300,0.1,5000,0.3,0,5250,
13,25,300,0.1,5000,0.3,1,6093,
14,25,300,0.1,5000,0.3,1,6744,
15,25,300,0.1,5000,0.3,1,6094,
16,25,300,0.1,5000,0.3,0,690,
17,25,300,0.1,5000,0.3,1,6078,
18,25,300,0.1,5000,0.3,0,3228,
19,25,300,0.1,5000,0.3,1,6429,
20,25,300,0.1,5000,0.3,0,781,
21,25,300,0.1,5000,0.3,1,5962,
22,25,300,0.1,5000,0.3,1,6222,
23,25,300,0.1,5000,0.3,0,3074,
24,25,300,0.1,5000,0.3,1,6191,
25,25,300,0.1,5000,0.3,0,2454,
26,25,300,0.1,5000,0.3,1,5988,
27,25,300,0.1,5000,0.3,0,5158,
28,25,300,0.1,5000,0.3,0,3245,
29,25,300,0.1,5000,0.3,0,1455,
30,25,300,0.1,5000,0.3,0,628,
31,25,300,0.1,5000,0.3,0,919,
32,25,300,0.1,5000,0.3,0,6107,
33,25,300,0.1,5000,0.3,1,6419,
34,25,300,0.1,5000,0.3,0,2419,
35,25,300,0.1,5000,0.3,0,182,
36,25,300,0.1,5000,0.3,1,5956,
37,25,300,0.1,5000,0.3,1,5832,
38,25,300,0.1,5000,0.3,0,860,
39,25,300,0.1,5000,0.3,1,6053,
40,25,300,0.1,5000,0.3,0,3396,
41,25,300,0.1,5000,0.3,0,5733,
42,25,300,0.1,5000,0.3,0,3686,
43,25,300,0.1,5000,0.3,0,3229,
44,25,300,0.1,5000,0.3,0,2346,
45,25,300,0.1,5000,0.3,1,6280,
46,25,300,0.1,5000,0.3,1,6445,
47,25,300,0.1,5000,0.3,0,2095,
48,25,300,0.1,5000,0.3,0,2066,
49,25,300,0.1,5000,0.3,0,1267,
50,25,300,0.1,5000,0.3,0,214,
51,25,300,0.1,5000,0.3,1,6225,
52,25,300,0.1,5000,0.3,1,5898,
53,25,300,0.1,5000,0.3,1,6368,
54,25,300,0.1,5000,0.3,0,502,
55,25,300,0.1,5000,0.3,1,6424,
56,25,300,0.1,5000,0.3,1,6422,
57,25,300,0.1,5000,0.3,0,3877,
58,25,300,0.1,5000,0.3,0,5165,
59,25,300,0.1,5000,0.3,0,1456,
60,25,300,0.1,5000,0.3,0,4342,
61,25,300,0.1,5000,0.3,1,6294,
62,25,300,0.1,5000,0.3,0,6044,
63,25,300,0.1,5000,0.3,0,3879,
64,25,300,0.1,5000,0.3,0,1071,
65,25,300,0.1,5000,0.3,1,6418,
66,25,300,0.1,5000,0.3,0,1679,
67,25,300,0.1,5000,0.3,1,6363,
68,25,300,0.1,5000,0.3,0,2787,
69,25,300,0.1,5000,0.3,1,6284,
70,25,300,0.1,5000,0.3,0,2428,
71,25,300,0.1,5000,0.3,0,1955,
72,25,300,0.1,5000,0.3,0,1385,
73,25,300,0.1,5000,0.3,0,4139,
74,25,300,0.1,5000,0.3,0,4971,
75,25,300,0.1,5000,0.3,1,6512,
76,25,300,0.1,5000,0.3,1,6035,
77,25,300,0.1,5000,0.3,1,6073,
78,25,300,0.1,5000,0.3,0,4223,
79,25,300,0.1,5000,0.3,1,6718,
80,25,300,0.1,5000,0.3,1,6344,
81,25,300,0.1,5000,0.3,1,6686,
82,25,300,0.1,5000,0.3,0,1226,
83,25,300,0.1,5000,0.3,0,603,
84,25,300,0.1,5000,0.3,0,2563,
85,25,300,0.1,5000,0.3,0,1467,
86,25,300,0.1,5000,0.3,0,565,
87,25,300,0.1,5000,0.3,0,209,
88,25,300,0.1,5000,0.3,1,6270,
89,25,300,0.1,5000,0.3,0,3981,
90,25,300,0.1,5000,0.3,1,6451,
91,25,300,0.1,5000,0.3,1,6419,
92,25,300,0.1,5000,0.3,0,2477,
93,25,300,0.1,5000,0.3,0,3610,
94,25,300,0.1,5000,0.3,0,1359,
95,25,300,0.1,5000,0.3,1,6160,
96,25,300,0.1,5000,0.3,0,3473,
97,25,300,0.1,5000,0.3,1,6425,
98,25,300,0.1,5000,0.3,0,507,
99,25,300,0.1,5000,0.3,0,4251,
100,25,300,0.1,5000,0.3,1,6327,
1,25,300,0.1,5000,0.4,1,6268,
2,25,300,0.1,5000,0.4,0,2403,
3,25,300,0.1,5000,0.4,1,6348,
4,25,300,0.1,5000,0.4,1,6171,
5,25,300,0.1,5000,0.4,0,1065,
6,25,300,0.1,5000,0.4,1,6657,
7,25,300,0.1,5000,0.4,0,6212,
8,25,300,0.1,5000,0.4,1,5997,
9,25,300,0.1,5000,0.4,0,1306,
10,25,300,0.1,5000,0.4,1,7058,
11,25,300,0.1,5000,0.4,1,6261,
12,25,300,0.1,5000,0.4,1,6164,
13,25,300,0.1,5000,0.4,1,6327,
14,25,300,0.1,5000,0.4,0,2680,
15,25,300,0.1,5000,0.4,1,6485,
16,25,300,0.1,5000,0.4,0,3425,
17,25,300,0.1,5000,0.4,0,4413,
18,25,300,0.1,5000,0.4,0,1193,
19,25,300,0.1,5000,0.4,1,6279,
20,25,300,0.1,5000,0.4,1,6387,
21,25,300,0.1,5000,0.4,0,949,
22,25,300,0.1,5000,0.4,0,736,
23,25,300,0.1,5000,0.4,0,3642,
24,25,300,0.1,5000,0.4,0,2321,
25,25,300,0.1,5000,0.4,1,6350,
26,25,300,0.1,5000,0.4,0,444,
27,25,300,0.1,5000,0.4,0,342,
28,25,300,0.1,5000,0.4,1,6786,
29,25,300,0.1,5000,0.4,1,5971,
30,25,300,0.1,5000,0.4,1,6499,
31,25,300,0.1,5000,0.4,0,1048,
32,25,300,0.1,5000,0.4,0,1567,
33,25,300,0.1,5000,0.4,0,5200,
34,25,300,0.1,5000,0.4,1,6562,
35,25,300,0.1,5000,0.4,1,6115,
36,25,300,0.1,5000,0.4,1,5903,
37,25,300,0.1,5000,0.4,0,688,
38,25,300,0.1,5000,0.4,0,716,
39,25,300,0.1,5000,0.4,1,6129,
40,25,300,0.1,5000,0.4,1,6693,
41,25,300,0.1,5000,0.4,1,6910,
42,25,300,0.1,5000,0.4,1,6073,
43,25,300,0.1,5000,0.4,0,302,
44,25,300,0.1,5000,0.4,0,695,
45,25,300,0.1,5000,0.4,0,2799,
46,25,300,0.1,5000,0.4,1,6269,
47,25,300,0.1,5000,0.4,0,5028,
48,25,300,0.1,5000,0.4,1,6182,
49,25,300,0.1,5000,0.4,0,4749,
50,25,300,0.1,5000,0.4,0,2774,
51,25,300,0.1,5000,0.4,0,2501,
52,25,300,0.1,5000,0.4,1,6564,
53,25,300,0.1,5000,0.4,0,553,
54,25,300,0.1,5000,0.4,0,1576,
55,25,300,0.1,5000,0.4,0,1241,
56,25,300,0.1,5000,0.4,0,262,
57,25,300,0.1,5000,0.4,0,377,
58,25,300,0.1,5000,0.4,1,6546,
59,25,300,0.1,5000,0.4,0,1291,
60,25,300,0.1,5000,0.4,0,1238,
61,25,300,0.1,5000,0.4,0,728,
62,25,300,0.1,5000,0.4,0,2644,
63,25,300,0.1,5000,0.4,1,6846,
64,25,300,0.1,5000,0.4,0,1502,
65,25,300,0.1,5000,0.4,0,507,
66,25,300,0.1,5000,0.4,1,6463,
67,25,300,0.1,5000,0.4,1,6233,
68,25,300,0.1,5000,0.4,0,4608,
69,25,300,0.1,5000,0.4,1,6586,
70,25,300,0.1,5000,0.4,1,6475,
71,25,300,0.1,5000,0.4,1,6168,
72,25,300,0.1,5000,0.4,1,6384,
73,25,300,0.1,5000,0.4,0,3167,
74,25,300,0.1,5000,0.4,1,6640,
75,25,300,0.1,5000,0.4,0,2954,
76,25,300,0.1,5000,0.4,1,6810,
77,25,300,0.1,5000,0.4,0,3884,
78,25,300,0.1,5000,0.4,2,6392,
79,25,300,0.1,5000,0.4,1,6473,
80,25,300,0.1,5000,0.4,1,6254,
81,25,300,0.1,5000,0.4,1,6316,
82,25,300,0.1,5000,0.4,0,4308,
83,25,300,0.1,5000,0.4,1,5786,
84,25,300,0.1,5000,0.4,1,5923,
85,25,300,0.1,5000,0.4,1,6393,
86,25,300,0.1,5000,0.4,1,6155,
87,25,300,0.1,5000,0.4,1,6837,
88,25,300,0.1,5000,0.4,0,1706,
89,25,300,0.1,5000,0.4,0,5046,
90,25,300,0.1,5000,0.4,1,6218,
91,25,300,0.1,5000,0.4,1,6329,
92,25,300,0.1,5000,0.4,0,757,
93,25,300,0.1,5000,0.4,1,6390,
94,25,300,0.1,5000,0.4,0,4503,
95,25,300,0.1,5000,0.4,0,612,
96,25,300,0.1,5000,0.4,0,2098,
97,25,300,0.1,5000,0.4,0,2287,
98,25,300,0.1,5000,0.4,0,1129,
99,25,300,0.1,5000,0.4,1,6341,
100,25,300,0.1,5000,0.4,0,4536,
