iteration,size,popSize,mutProb,iter,popTop,attack,time,
73,25,300,0.1,5000,0.1,0,3270,
74,25,300,0.1,5000,0.1,1,6951,
75,25,300,0.1,5000,0.1,0,2543,
76,25,300,0.1,5000,0.1,0,4715,
77,25,300,0.1,5000,0.1,0,7043,
78,25,300,0.1,5000,0.1,0,6516,
79,25,300,0.1,5000,0.1,1,6965,
80,25,300,0.1,5000,0.1,0,905,
81,25,300,0.1,5000,0.1,1,6347,
82,25,300,0.1,5000,0.1,1,6746,
83,25,300,0.1,5000,0.1,1,6464,
84,25,300,0.1,5000,0.1,1,7358,
85,25,300,0.1,5000,0.1,1,6497,
86,25,300,0.1,5000,0.1,0,1086,
87,25,300,0.1,5000,0.1,0,1401,
88,25,300,0.1,5000,0.1,2,6896,
89,25,300,0.1,5000,0.1,1,6634,
90,25,300,0.1,5000,0.1,1,6542,
91,25,300,0.1,5000,0.1,0,701,
92,25,300,0.1,5000,0.1,0,1167,
93,25,300,0.1,5000,0.1,1,6397,
94,25,300,0.1,5000,0.1,0,305,
95,25,300,0.1,5000,0.1,0,1170,
96,25,300,0.1,5000,0.1,0,4474,
97,25,300,0.1,5000,0.1,0,2829,
98,25,300,0.1,5000,0.1,0,3184,
99,25,300,0.1,5000,0.1,1,6067,
100,25,300,0.1,5000,0.1,1,6796,
1,25,300,0.1,7500,0.1,0,1677,
2,25,300,0.1,7500,0.1,0,2437,
3,25,300,0.1,7500,0.1,0,3353,
4,25,300,0.1,7500,0.1,0,1202,
5,25,300,0.1,7500,0.1,0,6220,
6,25,300,0.1,7500,0.1,0,2089,
7,25,300,0.1,7500,0.1,0,1848,
8,25,300,0.1,7500,0.1,1,9999,
9,25,300,0.1,7500,0.1,1,9291,
10,25,300,0.1,7500,0.1,0,3354,
11,25,300,0.1,7500,0.1,0,4435,
12,25,300,0.1,7500,0.1,1,10125,
13,25,300,0.1,7500,0.1,0,501,
14,25,300,0.1,7500,0.1,0,1658,
15,25,300,0.1,7500,0.1,0,7643,
16,25,300,0.1,7500,0.1,0,1987,
17,25,300,0.1,7500,0.1,0,1657,
18,25,300,0.1,7500,0.1,1,9176,
19,25,300,0.1,7500,0.1,0,3709,
20,25,300,0.1,7500,0.1,1,9691,
21,25,300,0.1,7500,0.1,1,9103,
22,25,300,0.1,7500,0.1,1,9332,
23,25,300,0.1,7500,0.1,0,101,
24,25,300,0.1,7500,0.1,0,9175,
25,25,300,0.1,7500,0.1,0,83,
26,25,300,0.1,7500,0.1,0,3693,
27,25,300,0.1,7500,0.1,0,2213,
28,25,300,0.1,7500,0.1,0,1800,
29,25,300,0.1,7500,0.1,0,1052,
30,25,300,0.1,7500,0.1,0,125,
31,25,300,0.1,7500,0.1,0,420,
32,25,300,0.1,7500,0.1,1,9693,
33,25,300,0.1,7500,0.1,2,10038,
34,25,300,0.1,7500,0.1,0,2885,
35,25,300,0.1,7500,0.1,0,3862,
36,25,300,0.1,7500,0.1,0,3103,
37,25,300,0.1,7500,0.1,1,9713,
38,25,300,0.1,7500,0.1,0,6667,
39,25,300,0.1,7500,0.1,0,1722,
40,25,300,0.1,7500,0.1,0,9036,
41,25,300,0.1,7500,0.1,0,267,
42,25,300,0.1,7500,0.1,1,9297,
43,25,300,0.1,7500,0.1,1,10349,
44,25,300,0.1,7500,0.1,0,7072,
45,25,300,0.1,7500,0.1,1,10682,
46,25,300,0.1,7500,0.1,1,10180,
47,25,300,0.1,7500,0.1,0,3322,
48,25,300,0.1,7500,0.1,1,10372,
49,25,300,0.1,7500,0.1,1,10518,
50,25,300,0.1,7500,0.1,0,1145,
51,25,300,0.1,7500,0.1,0,10264,
52,25,300,0.1,7500,0.1,0,4435,
53,25,300,0.1,7500,0.1,0,1906,
54,25,300,0.1,7500,0.1,1,9712,
55,25,300,0.1,7500,0.1,1,9877,
56,25,300,0.1,7500,0.1,0,644,
57,25,300,0.1,7500,0.1,0,444,
