iteration,size,popSize,mutProb,iter,popTop,attack,time,
23,25,300,0.2,5000,0.1,0,410,
24,25,300,0.2,5000,0.1,1,10203,
25,25,300,0.2,5000,0.1,0,7046,
26,25,300,0.2,5000,0.1,0,7573,
27,25,300,0.2,5000,0.1,0,3072,
28,25,300,0.2,5000,0.1,0,7133,
29,25,300,0.2,5000,0.1,0,3110,
30,25,300,0.2,5000,0.1,0,8618,
31,25,300,0.2,5000,0.1,0,4425,
32,25,300,0.2,5000,0.1,0,6984,
33,25,300,0.2,5000,0.1,0,3228,
34,25,300,0.2,5000,0.1,1,9973,
35,25,300,0.2,5000,0.1,0,872,
36,25,300,0.2,5000,0.1,1,10077,
37,25,300,0.2,5000,0.1,1,9686,
38,25,300,0.2,5000,0.1,1,9738,
39,25,300,0.2,5000,0.1,0,2158,
40,25,300,0.2,5000,0.1,0,433,
41,25,300,0.2,5000,0.1,0,1484,
42,25,300,0.2,5000,0.1,0,2597,
43,25,300,0.2,5000,0.1,0,4978,
44,25,300,0.2,5000,0.1,1,9327,
45,25,300,0.2,5000,0.1,0,2814,
46,25,300,0.2,5000,0.1,0,2224,
47,25,300,0.2,5000,0.1,1,9386,
48,25,300,0.2,5000,0.1,0,281,
49,25,300,0.2,5000,0.1,1,9609,
50,25,300,0.2,5000,0.1,0,1567,
51,25,300,0.2,5000,0.1,0,6979,
52,25,300,0.2,5000,0.1,1,9566,
53,25,300,0.2,5000,0.1,0,936,
54,25,300,0.2,5000,0.1,0,2697,
55,25,300,0.2,5000,0.1,0,1395,
56,25,300,0.2,5000,0.1,0,2231,
57,25,300,0.2,5000,0.1,0,6138,
58,25,300,0.2,5000,0.1,1,9456,
59,25,300,0.2,5000,0.1,0,3174,
60,25,300,0.2,5000,0.1,0,2520,
61,25,300,0.2,5000,0.1,0,5178,
62,25,300,0.2,5000,0.1,0,8263,
63,25,300,0.2,5000,0.1,1,9259,
64,25,300,0.2,5000,0.1,0,461,
65,25,300,0.2,5000,0.1,0,1070,
66,25,300,0.2,5000,0.1,0,1432,
67,25,300,0.2,5000,0.1,0,943,
68,25,300,0.2,5000,0.1,1,9093,
69,25,300,0.2,5000,0.1,0,6969,
70,25,300,0.2,5000,0.1,0,644,
71,25,300,0.2,5000,0.1,0,1045,
72,25,300,0.2,5000,0.1,0,2539,
73,25,300,0.2,5000,0.1,0,3979,
74,25,300,0.2,5000,0.1,0,2805,
75,25,300,0.2,5000,0.1,0,8378,
76,25,300,0.2,5000,0.1,0,1519,
77,25,300,0.2,5000,0.1,0,3917,
78,25,300,0.2,5000,0.1,0,3674,
79,25,300,0.2,5000,0.1,0,2254,
80,25,300,0.2,5000,0.1,0,3400,
81,25,300,0.2,5000,0.1,1,9153,
82,25,300,0.2,5000,0.1,0,3645,
83,25,300,0.2,5000,0.1,0,848,
84,25,300,0.2,5000,0.1,1,9172,
85,25,300,0.2,5000,0.1,0,5905,
86,25,300,0.2,5000,0.1,0,514,
87,25,300,0.2,5000,0.1,0,2810,
88,25,300,0.2,5000,0.1,1,9406,
89,25,300,0.2,5000,0.1,0,5179,
90,25,300,0.2,5000,0.1,0,4426,
91,25,300,0.2,5000,0.1,0,3472,
92,25,300,0.2,5000,0.1,0,2221,
93,25,300,0.2,5000,0.1,1,9292,
94,25,300,0.2,5000,0.1,0,636,
95,25,300,0.2,5000,0.1,0,6256,
96,25,300,0.2,5000,0.1,0,7778,
97,25,300,0.2,5000,0.1,1,9432,
98,25,300,0.2,5000,0.1,0,5675,
99,25,300,0.2,5000,0.1,0,3295,
100,25,300,0.2,5000,0.1,1,9164,
1,25,300,0.25,5000,0.1,0,2353,
2,25,300,0.25,5000,0.1,0,3895,
3,25,300,0.25,5000,0.1,1,10278,
4,25,300,0.25,5000,0.1,1,10359,
5,25,300,0.25,5000,0.1,0,4775,
6,25,300,0.25,5000,0.1,0,2192,
7,25,300,0.25,5000,0.1,1,10024,
8,25,300,0.25,5000,0.1,1,9828,
9,25,300,0.25,5000,0.1,1,11562,
10,25,300,0.25,5000,0.1,1,10020,
11,25,300,0.25,5000,0.1,1,9850,
12,25,300,0.25,5000,0.1,0,820,
13,25,300,0.25,5000,0.1,0,8003,
14,25,300,0.25,5000,0.1,0,1544,
15,25,300,0.25,5000,0.1,0,593,
16,25,300,0.25,5000,0.1,0,6063,
